readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.0031791587825864553, u'xMag': -12, u'azimuth': 2.5904083251953125, u'zforce': 9.8317049999999995, u'yforce': 0.031284943000000003, u'time': 1413064320.434, u'yMag': -22.799987999999999, u'zMag': -45.599989999999998, u'roll': 0.042528502643108368, u'xforce': -0.41837996} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.004846496507525444, u'xMag': -12.299988000000001, u'azimuth': 2.5682442188262939, u'zforce': 9.8403860000000005, u'yforce': 0.0477507, u'time': 1413064474.6889999, u'yMag': -22.799987999999999, u'zMag': -46.199997000000003, u'roll': 0.049686025828123093, u'xforce': -0.48933243999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.0055019930936396119, u'xMag': -13.199997, u'azimuth': 2.4941497325897215, u'zforce': 9.8315549999999998, u'yforce': 0.069305874000000003, u'time': 1413064517.655, u'yMag': -20.399994, u'zMag': -45.599989999999998, u'roll': 0.046642025560140611, u'xforce': -0.48963180000000001} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.0067072995007038116, u'xMag': -14.399994, u'azimuth': 2.4809312343597414, u'zforce': 9.8297589999999992, u'yforce': 0.066012724999999994, u'time': 1413064589.326, u'yMag': -21.599989999999998, u'zMag': -45.599989999999998, u'roll': 0.04942065104842186, u'xforce': -0.48618897999999999} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034200903773307798, u'xMag': -25.199997, u'azimuth': 1.9791120052337647, u'zforce': 9.8698759999999996, u'yforce': 0.33769774000000002, u'time': 1413157956.967, u'yMag': -12.599990999999999, u'zMag': -44.699997000000003, u'roll': -0.0053899502614513043, u'xforce': 0.084274749999999995} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.031769691780209539, u'xMag': -24.899994, u'azimuth': 2.0156560420989988, u'zforce': 9.8694269999999999, u'yforce': 0.30087431999999997, u'time': 1413157959.1600001, u'yMag': -13.5, u'zMag': -45, u'roll': 0.0093690486624836925, u'xforce': -0.10508148} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.038121508061885835, u'xMag': -24.599989999999998, u'azimuth': 2.0622998714447021, u'zforce': 9.8694269999999999, u'yforce': 0.37601807999999998, u'time': 1413157961.1949999, u'yMag': -14.699997, u'zMag': -45, u'roll': -0.0038778444752097128, u'xforce': 0.083825684999999997} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.031904605031013486, u'xMag': -24.299987999999999, u'azimuth': 2.0304525375366209, u'zforce': 9.9412769999999995, u'yforce': 0.30117371999999998, u'time': 1413157963.24, u'yMag': -13.5, u'zMag': -44.699997000000003, u'roll': 0.0019297293387353421, u'xforce': 0.039667510000000003} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.039897821843624115, u'xMag': -23.699997, u'azimuth': 2.0263882637023927, u'zforce': 9.8733190000000004, u'yforce': 0.41254210000000002, u'time': 1413157965.2479999, u'yMag': -13.5, u'zMag': -44.099989999999998, u'roll': 0.0097528006881475449, u'xforce': -0.10642868} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.034821297228336337, u'xMag': -24, u'azimuth': 2.0384134769439699, u'zforce': 9.7935339999999993, u'yforce': 0.33799713999999997, u'time': 1413157967.3080001, u'yMag': -13.799988000000001, u'zMag': -43.799987999999999, u'roll': 0.0069427338428795339, u'xforce': -0.068258054999999998} 
readSensors data:  {u'light': 160, u'accuracy': 3, u'pitch': -0.037394598126411438, u'xMag': -24.899994, u'azimuth': 1.9472782611846924, u'zforce': 9.9469650000000005, u'yforce': 0.35446290000000003, u'time': 1413157969.348, u'yMag': -11.399994, u'zMag': -45, u'roll': -0.0037388318218290807, u'xforce': 0.047002259999999997} 
